20181001T,-39,-39,-39,-39,0
20181002T,-9,-9,-9,-9,0
20181003T,-83,-83,-83,-83,0
20181004T,61,61,61,61,0
20181005T,57,57,57,57,0
20181006T,-65,-65,-65,-65,0
20181007T,1,1,1,1,0
20181008T,73,73,73,73,0
20181009T,-35,-35,-35,-35,0
20181010T,-23,-23,-23,-23,0
20181011T,-117,-117,-117,-117,0
20181012T,57,57,57,57,0
20181013T,31,31,31,31,0
20181014T,-51,-51,-51,-51,0
20181015T,103,103,103,103,0
20181016T,21,21,21,21,0
20181017T,-3,-3,-3,-3,0
20181018T,-81,-81,-81,-81,0
20181019T,25,25,25,25,0
20181020T,69,69,69,69,0
20181021T,-13,-13,-13,-13,0
20181022T,-9,-9,-9,-9,0
20181023T,-7,-7,-7,-7,0
20181024T,11,11,11,11,0
20181025T,-47,-47,-47,-47,0
20181026T,-11,-11,-11,-11,0
20181027T,-45,-45,-45,-45,0
20181028T,67,67,67,67,0
20181029T,-95,-95,-95,-95,0
20181030T,25,25,25,25,0
20181031T,-7,-7,-7,-7,0
20181101T,67,67,67,67,0
20181102T,13,13,13,13,0
20181103T,-37,-37,-37,-37,0
20181104T,3,3,3,3,0
20181105T,-13,-13,-13,-13,0
20181106T,75,75,75,75,0
20181107T,7,7,7,7,0
20181108T,-75,-75,-75,-75,0
20181109T,-65,-65,-65,-65,0
20181110T,57,57,57,57,0
20181111T,-57,-57,-57,-57,0
20181112T,-39,-39,-39,-39,0
20181113T,-75,-75,-75,-75,0
20181114T,-115,-115,-115,-115,0
20181115T,-55,-55,-55,-55,0
20181116T,-59,-59,-59,-59,0
20181117T,-45,-45,-45,-45,0
20181118T,77,77,77,77,0
20181119T,-119,-119,-119,-119,0
20181120T,-103,-103,-103,-103,0
20181121T,107,107,107,107,0
20181122T,-87,-87,-87,-87,0
20181123T,-73,-73,-73,-73,0
20181124T,-105,-105,-105,-105,0
20181125T,63,63,63,63,0
20181126T,-95,-95,-95,-95,0
20181127T,65,65,65,65,0
20181128T,115,115,115,115,0
20181129T,-5,-5,-5,-5,0
20181130T,-105,-105,-105,-105,0
20181201T,105,105,105,105,0
20181202T,-85,-85,-85,-85,0
20181203T,-111,-111,-111,-111,0
20181204T,53,53,53,53,0
20181205T,-109,-109,-109,-109,0
20181206T,-107,-107,-107,-107,0
20181207T,-65,-65,-65,-65,0
20181208T,3,3,3,3,0
20181209T,101,101,101,101,0
20181210T,-95,-95,-95,-95,0
20181211T,-67,-67,-67,-67,0
20181212T,51,51,51,51,0
20181213T,-107,-107,-107,-107,0
20181214T,-81,-81,-81,-81,0
20181215T,-27,-27,-27,-27,0
20181216T,65,65,65,65,0
20181217T,119,119,119,119,0
20181218T,91,91,91,91,0
20181219T,63,63,63,63,0
20181220T,105,105,105,105,0
20181221T,-87,-87,-87,-87,0
20181222T,95,95,95,95,0
20181223T,75,75,75,75,0
20181224T,19,19,19,19,0
20181225T,-109,-109,-109,-109,0
20181226T,23,23,23,23,0
20181227T,-105,-105,-105,-105,0
20181228T,99,99,99,99,0
20181229T,-61,-61,-61,-61,0
20181230T,-25,-25,-25,-25,0
20181231T,-89,-89,-89,-89,0
20190101T,85,85,85,85,0
20190102T,101,101,101,101,0
20190103T,-87,-87,-87,-87,0
20190104T,43,43,43,43,0
20190105T,-13,-13,-13,-13,0
20190106T,107,107,107,107,0
20190107T,-73,-73,-73,-73,0
20190108T,9,9,9,9,0
20190109T,9,9,9,9,0
20190110T,-105,-105,-105,-105,0
20190111T,23,23,23,23,0
20190112T,-23,-23,-23,-23,0
20190113T,-105,-105,-105,-105,0
20190114T,113,113,113,113,0
20190115T,-85,-85,-85,-85,0
20190116T,69,69,69,69,0
20190117T,55,55,55,55,0
20190118T,-73,-73,-73,-73,0
20190119T,105,105,105,105,0
20190120T,-93,-93,-93,-93,0
20190121T,-33,-33,-33,-33,0
20190122T,39,39,39,39,0
20190123T,-47,-47,-47,-47,0
20190124T,21,21,21,21,0
20190125T,-43,-43,-43,-43,0
20190126T,-17,-17,-17,-17,0
20190127T,-73,-73,-73,-73,0
20190128T,-111,-111,-111,-111,0
20190129T,-35,-35,-35,-35,0
20190130T,87,87,87,87,0
20190131T,-95,-95,-95,-95,0
20190201T,49,49,49,49,0
20190202T,41,41,41,41,0
20190203T,-75,-75,-75,-75,0
20190204T,-21,-21,-21,-21,0
20190205T,-35,-35,-35,-35,0
20190206T,-69,-69,-69,-69,0
20190207T,27,27,27,27,0
20190208T,123,123,123,123,0
